	Word	PoS	FrSp		LL	FrWr

	the	Det	39605	-	104720.4	64420
	of	Prep	14550	-	104519.3	31109
	and	Conj	25210	-	1134.5	27002
	a	Det	18637	-	4992.3	21972
	in	Prep	11609	-	31394.0	18978
	to	Inf	14912	-	1371.7	16442
	is	Verb	10164	+	37.9	9961
	to	Prep	6950	-	7715.3	9620
	was	Verb	8097	-	1689.4	9368
	it	Pron	24508	+	151913.5	9298
	for	Prep	6239	-	7070.6	8664
	that	Conj	7246	-	6.1	7315
	with	Prep	4446	-	8896.2	6821
	he	Pron	7277	+	364.2	6756
	be	Verb	5790	-	1319.9	6742
	on	Prep	5659	-	1235.5	6569
	I	Pron	29448	+	369238.5	6494
	by	Prep	1663	-	35309.0	5493
	's	Gen	1606	-	29320.9	4945
	at	Prep	4115	-	1147.6	4868
	you	Pron	25957	+	385328.3	4755
	are	Verb	4663	-	4.8	4713
	had	Verb	2835	-	7697.6	4639
	his	Det	1333	-	31332.3	4627
	not	Neg	4693	+	11.3	4618
	this	DetP	5627	+	2379.6	4506
	have	Verb	7488	+	16057.1	4416
	but	Conj	6366	+	7310.7	4370
	from	Prep	2178	-	12708.7	4360
	which	DetP	2208	-	8187.5	3893
	she	Pron	4136	+	332.9	3762
	they	Pron	9333	+	52132.8	3754
	or	Conj	3357	-	392.5	3747
	an	Det	1846	-	10000.3	3613
	were	Verb	2749	-	858.2	3282
	as	Conj	1558	-	9631.4	3174
	we	Pron	10448	+	106914.5	2784
	their	Det	1284	-	9386.0	2761
	been	Verb	2082	-	1693.2	2756
	has	Verb	1598	-	5051.0	2708
	that	DetP	14252	+	213613.5	2581
	will	VMod	1890	-	1698.5	2537
	would	VMod	3278	+	2223.9	2467
	her*	Det	644	-	16899.4	2362
	there	Ex	4067	+	9288.2	2354
	n't	Neg	12212	+	177089.3	2300
	all	DetP	3644	+	6115.9	2297
	can	VMod	3588	+	6572.3	2211
	if	Conj	4544	+	18764.4	2118
	who	Pron	1780	-	443.9	2086
	said	Verb	2685	+	1838.7	2018
	do	Verb	9594	+	126017.2	2016
	what	DetP	7313	+	75414.2	1936
	as	Prep	916	-	5727.7	1873
	's	Verb	17677	+	384464.6	1848
	one	Num	3034	+	5910.9	1839
	its	Det	338	-	17017.0	1782
	into	Prep	1067	-	2560.1	1700
	him	Pron	1348	-	676.1	1684
	some	DetP	1986	+	485.6	1681
	up	Adv	2891	+	6666.5	1668
	could	VMod	1949	+	464.3	1653
	when	Conj	2255	+	1836.7	1649
	them	Pron	3126	+	10733.0	1572
	so	Adv	5067	+	44484.3	1526
	time	NoC	1819	+	548.7	1509
	out	Adv	2316	+	3968.3	1452
	my	Det	2278	+	3796.6	1438
	two	Num	2710	+	8229.4	1428
	about	Prep	2730	+	9185.9	1384
	then	Adv	3474	+	19911.6	1378
	no	Det	1102	-	529.1	1371
	more	Adv	624	-	4646.0	1351
	other	Adj	1313	-	4.4	1339
	also	Adv	556	-	5482.9	1328
	only	Adv	1079	-	447.9	1323
	these	DetP	1269	+	2.0	1252
	me	Pron	2444	+	8239.6	1239
	first	Ord	957	-	572.0	1220
	your	Det	2859	+	14438.1	1212
	may	VMod	480	-	5470.7	1211
	now	Adv	2864	+	14540.7	1211
	did	Verb	3368	+	22872.6	1210
	new	Adj	603	-	3528.3	1208
	any	DetP	1484	+	624.8	1189
	people	NoC	2063	+	5371.8	1146
	her	Pron	800	-	942.2	1118
	should	VMod	1173	+	38.1	1105
	than	Conj	683	-	1547.3	1074
	see	Verb	2507	+	13371.6	1033
	very	Adv	2373	+	11530.6	1025
	made	Verb	539	-	2336.9	990
	like	Prep	1762	+	4525.3	983
	just	Adv	3820	+	40726.6	982
	after	Prep	539	-	2180.7	972
	between	Prep	338	-	5239.2	968
	many	DetP	654	-	870.4	931
	years	NoC	704	-	537.9	925
	way	NoC	1252	+	956.3	925
	how	Adv	1888	+	7106.1	915
	our	Det	1253	+	1033.0	914
	being	Verb	634	-	763.5	888
	those	DetP	1121	+	655.4	861
	such	DetP	225	-	5912.7	825
	down	Adv	1472	+	4515.8	772
	one	Pron	2532	+	21938.2	770
	make	Verb	977	+	477.7	769
	through	Prep	615	-	271.8	758
	over	Prep	543	-	627.6	757
	even	Adv	457	-	1226.0	746
	back	Adv	1211	+	2229.6	745
	must	VMod	589	-	305.0	739
	know	Verb	5550	+	104930.3	734
	year	NoC	803	+	65.1	730
	own	DetP	443	-	1198.6	724
	still	Adv	739	+	7.2	715
	because*	Conj	2039	+	14376.4	715
	too	Adv	629	-	89.0	710
	get	Verb	3464	+	46650.2	709
	good	Adj	1566	+	6955.6	706
	three	Num	1721	+	9654.5	691
	last	Num	788	+	150.6	680
	more	DetP	949	+	938.2	671
	take	Verb	1149	+	2625.5	665
	however	Adv	90	-	7648.4	664
	government	NoC	295	-	2425.5	660
	work	NoC	601	-	48.8	659
	go	Verb	2885	+	35449.6	649
	man	NoC	405	-	929.2	639
	well	Adv	5310	+	107026.4	634
	on	Adv	1849	+	13638.6	630
	world	NoC	248	-	2867.8	629
	same	DetP	651	+	24.0	611
	most	Adv	199	-	3559.7	607
	over	Adv	443	-	423.4	600
	life	NoC	293	-	1821.6	598
	against	Prep	257	-	2347.4	597
	day	NoC	746	+	330.4	594
	might	VMod	809	+	657.1	592
	under	Prep	234	-	2659.7	590
	here	Adv	1640	+	11087.8	590
	does	Verb	1549	+	9615.6	587
	another	DetP	640	+	66.3	575
	come	Verb	1737	+	13389.7	574
	as	Adv	507	-	76.4	574
	us	Pron	1059	+	2981.0	573
	think	Verb	3977	+	71946.0	562
	old	Adj	529	-	4.4	545
	while	Conj	156	-	3694.5	543
	never	Adv	700	+	387.4	542
	where	Adv	1380	+	8075.1	541
	each	DetP	243	-	1947.3	539
	again	Adv	836	+	1381.6	529
	found*	Verb	209	-	2304.7	521
	Mr	NoC	565	+	37.2	519
	'	Gen	141	-	3704.0	518
	part	NoC	355	-	510.2	512
	say	Verb	2116	+	24125.8	512
	house	NoC	460	-	40.4	506
	much	DetP	764	+	1057.8	504
	there	Adv	2894	+	45269.5	498
	used	Verb	225	-	1783.4	497
	where	Conj	160	-	2907.1	492
	out of	Prep	497	+	0.9	490
	in	Adv	1307	+	8310.9	488
	number	NoC	531	+	34.3	488
	without	Prep	227	-	1611.1	483
	going*	Verb	2174	+	27109.0	482
	different	Adj	500	+	6.8	482
	children	NoC	367	-	261.2	477
	system	NoC	189	-	2141.5	476
	put	Verb	1640	+	15152.7	475
	during	Prep	152	-	2833.1	473
	within	Prep	253	-	1165.1	472
	came	Verb	473	+	0.1	471
	although	Conj	160	-	2604.6	468
	few	DetP	346	-	303.2	462
	local	Adj	301	-	602.0	462
	small	Adj	216	-	1525.0	460
	before	Prep	220	-	1465.3	459
	got	Verb	5025	+	117320.3	459
	social	Adj	115	-	3523.1	458
	'll	VMod	3066	+	53585.0	455
	place	NoC	353	-	225.0	453
	case	NoC	243	-	1106.7	453
	great	Adj	363	-	172.6	452
	off	Adv	831	+	2384.9	446
	always	Adv	597	+	423.9	446
	've	Verb	4735	+	108766.4	446
	'm	Verb	2512	+	38492.4	443
	most	DetP	261	-	814.4	441
	're	Verb	4255	+	93216.8	439
	why	Adv	1113	+	6453.4	439
	something	Pron	1290	+	9584.5	437
	group	NoC	249	-	871.1	433
	went	Verb	917	+	3675.1	433
	want	Verb	1776	+	20109.9	432
	thought	Verb	845	+	2811.8	430
	company	NoC	158	-	2157.8	429
	1	Num	9	-	7542.2	428
	end	NoC	455	+	18.5	426
	party	NoC	227	-	1035.7	423
	when	Adv	530	+	248.6	420
	per cent	NoC	69	-	4353.7	418
	women	NoC	232	-	931.9	418
	about	Adv	730	+	1785.4	414
	next	Num	594	+	645.9	412
	both	Adv	111	-	2943.9	409
	men	NoC	223	-	947.9	408
	find	Verb	529	+	305.8	408
	information	NoC	206	-	1155.0	407
	important	Adj	280	-	411.2	405
	give	Verb	845	+	3270.5	405
	took	Verb	287	-	351.4	404
	national	Adj	165	-	1698.6	401
	often	Adv	175	-	1517.6	399
	every	Det	456	+	85.4	395
	state	NoC	108	-	2796.8	393
	given	Verb	224	-	806.4	392
